,write,proc,,write,any,0,Any,N/A,n,n,,none,Write to display,,,,,
,writeln,proc,,writeln,any,0,Any,N/A,n,n,,none,Write to display,,,,,
,writenewline,system,,writenewline,any,0,None,N/A,n,n,,none,Start new line (ie. Write end of line marker),,,,,
,writechar,system,,writechar,u8,0,Char,N/A,n,n,,none,Write character to display,,,,,
,writeinteger,system,,writeinteger,u8 u16 s16,0,Integer,N/A,n,n,,none,Write any integer type to the display,,,,,
,writeboolean,system,,writeboolean,boolean,0,Boolean,N/A,n,n,,none,Write boolean as a string,,,,,
;,,,,,,,,,,,,,,,,,,
;,Strings/Chars/Arrays,,,,,,,,,,,,,,,,,
,chr,func,,chr,x8 x16,0,Integer,N/A,N/A,N/A,,char,Convert number to character,,,,,
,downcase,func,,downcase,x8,0,Char,N/A,N/A,N/A,,char,Convert character or string to lower case,,,,,
;,length,func,,length,,,,,,,,,Length of an array or string,,,,,
,upcase,func,,upcase,x8,0,Char,N/A,N/A,N/A,,char,Uppercase a character or string,,,,,
